object_id,object_name,description,unit,canonical_id,canonical_label,kind,subsystem,control_role,application,schema_slot_id,fdv_role,in_mpc_control,in_u_meas,in_eval,catalog_only
AV-9,320.002RT402_VKHH,Kompenseringskurve X4 Kompenserende Verdi,degrees-celsius,district.tr002.comp.x4,TR002 residential — Compensation curve X4 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR002 bolig tur,0,0,0,0
AV-6,320.002RT402_VKL,Kompenseringskurve X2 Kompenserende Verdi,degrees-celsius,district.tr002.comp.x2,TR002 residential — Compensation curve X2 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR002 bolig tur,0,0,0,0
AV-8,320.002RT402_VKLL,Kompenseringskurve X1 Kompenserende Verdi,degrees-celsius,district.tr002.comp.x1,TR002 residential — Compensation curve X1 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR002 bolig tur,0,0,0,0
AV-10,320.002RT402_VPKH,Kompenseringskurve Y3 Regulert Verdi,degrees-celsius,district.tr002.comp.y3,TR002 residential — Compensation curve Y3 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR002 bolig tur,0,0,0,0
AV-11,320.002RT402_VPKL,Kompenseringskurve Y2 Regulert Verdi,degrees-celsius,district.tr002.comp.y2,TR002 residential — Compensation curve Y2 anchor,derived_state,district_heating,bms_configuration,mpc_context,,TR002 bolig tur,0,0,0,0
AI-18,320.002RT502_MV,Temperatur returvann,degrees-celsius,district.tr002.return.temp,Retur temperatur TR002 bolig,measured_state,district_heating,plant_measurement,mpc_plant,,Temperatur returvann,0,0,1,0
AO-2,320.002SB502_C,Varmeventil,percent,district.tr002.valve.command,Pådrag varmeventil TR002 bolig,control,district_heating,district_actuator,district_actuator,,TR002 bolig ventil,1,0,1,0
MSVV-3,320.003JP401_2_KOM,Pumpe,,district.tr003.pump.sequencer.command,TR003 commercial — District pump sequencer command,control,district_heating,operational_command,mpc_context,,TR003 næring pumpe,0,0,0,0
AV-26,320.003JP401_2_SP,Settpunkt v/stans,degrees-celsius,district.tr003.pump.stop.setpoint,TR003 commercial — District pump stop setpoint,control,district_heating,operational_command,mpc_context,,TR003 næring pumpe,0,0,0,0
BI-7,320.003JP401_A,Pumpe,,district.tr003.pump.run,TR003 commercial — District pump run command,control,district_heating,operational_command,mpc_context,,TR003 næring pumpe,0,0,0,0
BO-4,320.003JP401_S,Pumpe,,district.tr003.pump.status,Pumpestatus TR003 næring (observert),measured_state,district_heating,plant_measurement,mpc_plant,,TR003 næring pumpe,0,0,1,0
BI-8,320.003JP402_A,Pumpe,,district.tr003.pump.secondary.run,TR003 commercial — District secondary pump run command,control,district_heating,operational_command,mpc_context,,TR003 næring pumpe,0,0,0,0
BO-5,320.003JP402_S,Pumpe,,district.tr003.pump.secondary.status,TR003 commercial — District secondary pump status,measured_state,district_heating,plant_measurement,ui_plant,,TR003 næring pumpe,0,0,0,0
