hour_utc,electricity_kwh,district_heating_kwh,total_cost_kr
2026-07-01T17:00:00.000Z,0.6959999799728394,1,1.1773535661220549
2026-07-01T18:00:00.000Z,0.6600000262260437,2,1.29624005150795
2026-07-01T19:00:00.000Z,0.6919999718666077,2,1.0150947587311268
2026-07-01T20:00:00.000Z,0.6759999990463257,3,0.9038119987249374
2026-07-01T21:00:00.000Z,0.6449999809265137,3,0.8897774736881257
2026-07-01T22:00:00.000Z,0.7099999785423279,3,0.8748619735598564
2026-07-01T23:00:00.000Z,0.6620000004768372,4,0.8264408005952835
2026-07-02T00:00:00.000Z,0.6610000133514404,3,0.8244653166532516
2026-07-02T01:00:00.000Z,0.6970000267028809,4,0.8426033322811126
2026-07-02T02:00:00.000Z,0.6539999842643738,3,0.7915361809551715
2026-07-02T03:00:00.000Z,0.6819999814033508,4,0.8387917771279811
2026-07-02T04:00:00.000Z,0.6779999732971191,2,0.9325889632701875
2026-07-02T05:00:00.000Z,2.703000068664551,2,3.8250153971672063
2026-07-02T06:00:00.000Z,3.3269999027252197,2,4.487790168786049
2026-07-02T07:00:00.000Z,3.24399995803833,2,3.935945149087906
2026-07-02T08:00:00.000Z,3.677000045776367,2,3.9950605497360234
2026-07-02T09:00:00.000Z,3.8580000400543213,2,4.078291842341423
2026-07-02T10:00:00.000Z,4.09499979019165,1,4.352984776973725
2026-07-02T11:00:00.000Z,3.9210000038146973,2,4.133518204021454
2026-07-02T12:00:00.000Z,3.183000087738037,1,3.148305386781692
2026-07-02T13:00:00.000Z,2.5320000648498535,1,2.6196072670936585
2026-07-02T14:00:00.000Z,0.9369999766349792,2,0.9063600773990154
2026-07-02T15:00:00.000Z,0.6880000233650208,1,0.676372822970152
2026-07-02T16:00:00.000Z,0.675000011920929,1,0.6957900122880936
2026-07-02T17:00:00.000Z,0.6579999923706055,2,0.8384235902786255
2026-07-02T18:00:00.000Z,0.6850000023841858,1,0.913653003180027
2026-07-02T19:00:00.000Z,0.6549999713897705,2,0.8725909618854524
2026-07-02T20:00:00.000Z,0.6589999794960022,1,0.789416075438261
2026-07-02T21:00:00.000Z,0.6819999814033508,3,0.7846409786045551
2026-07-02T22:00:00.000Z,0.640999972820282,2,0.759072167813778
2026-07-02T23:00:00.000Z,0.675000011920929,3,0.7502625132501126
2026-07-03T00:00:00.000Z,0.652999997138977,3,0.7036074969172479
2026-07-03T01:00:00.000Z,0.6579999923706055,3,0.6616847923278809
2026-07-03T02:00:00.000Z,0.6809999942779541,3,0.6716021943569183
2026-07-03T03:00:00.000Z,0.6449999809265137,2,0.659189980506897
2026-07-03T04:00:00.000Z,0.6650000214576721,3,0.8226050265431405
